exp_id,num_cores,cpu_clock_GHz,l1i_kb,l1d_kb,l1_assoc,l2_kb,l2_assoc,fetchWidth,decodeWidth,issueWidth,commitWidth,numROBEntries,numIQEntries,LQEntries,SQEntries,branch_predictor,Area,Peak Power,Total Leakage,Peak Dynamic,Subthreshold Leakage,Gate Leakage,Runtime Dynamic,ipc,branch_misprediction_rate,icache_miss_rate,dcache_read_miss_rate,dcache_write_miss_rate
114,1,1.2,32,32,2,2048,16,12,12,4,2,192,16,16,8,MultiperspectivePerceptron64KB,199.9913,60.3805,18.638,46.8669,17.8129,1.2241,5.9048,0.8287,0.1353,0.0073,0.0185,0.0104
115,1,4,64,16,4,1024,2,4,4,4,4,256,96,8,8,TAGE,95.558,93.0254,17.4641,68.095,16.3725,1.1822,12.9841,0.7115,0.0563,0.0103,0.0895,0.0106
116,1,2,128,32,1,256,2,8,12,2,8,256,16,8,32,TAGE,153.7667,77.9981,16.8826,61.9104,15.9675,1.1815,7.3934,0.7852,0.0558,0.0081,0.0209,0.0104
117,1,3.2,128,32,8,128,2,4,8,4,4,128,96,8,32,TAGE,108.7098,90.9454,16.7487,70.4496,15.7444,1.1882,12.1713,0.8341,0.0562,0.01,0.0248,0.0104
118,1,2.8,64,16,8,128,8,2,2,12,2,192,32,16,16,MultiperspectivePerceptron64KB,104.2594,118.156,17.5055,93.9929,16.2855,1.2939,15.8741,0.6653,0.1133,0.0093,0.0813,0.0106
119,1,3.8,128,32,1,1024,4,2,2,12,12,256,64,64,8,TournamentBP,118.602,168.518,18.8229,140.8435,17.5114,1.3226,22.5171,0.6467,0.0675,0.0098,0.0243,0.0104
120,1,3.4,16,16,2,512,8,12,2,12,12,128,32,32,32,TAGE_SC_L_64KB,110.626,142.416,17.936,117.0302,16.6755,1.3114,20.7501,0.7249,0.0549,0.0113,0.0879,0.0106
121,1,3.2,16,64,4,256,2,8,8,12,8,256,96,32,32,MultiperspectivePerceptron64KB,149.5147,172.394,17.9314,150.8299,16.8783,1.3271,26.2685,0.9247,0.1129,0.01,0.0162,0.0102
122,1,1.4,16,32,1,2048,16,4,4,12,4,32,16,32,64,TAGE_SC_L_64KB,136.4363,71.4185,19.4301,48.9677,18.1961,1.3202,9.3862,0.945,0.0549,0.0114,0.0186,0.0104
123,1,3.8,32,64,1,256,2,4,8,2,2,32,16,8,32,BiModeBP,98.4699,96.8607,16.6867,73.269,15.5828,1.1538,9.4037,0.6737,0.0728,0.0099,0.0103,0.0102
124,1,2,64,32,1,2048,4,8,8,12,2,32,128,32,16,TAGE_SC_L_64KB,164.1285,116.257,19.6595,93.8958,18.5087,1.3378,13.8182,0.8041,0.0555,0.0091,0.0194,0.0104
125,1,2.4,64,128,4,1024,4,2,12,12,2,64,96,16,64,TournamentBP,185.159,172.012,19.291,150.4057,18.1239,1.3488,16.6151,0.7335,0.0677,0.0098,0.0135,0.0101
